playerID,Name,Position,Club,Division,Based,Nation,Height,Weight,Age,preferredFoot,bestPos,bestRole,Value,Wage
2479,Toni Lato,D/WB (L),Valencia,Spanish First Division,Spain (First Division),ESP,171,64,21,Left,D (L),WB,2900000,9250
570,Valon Behrami,"DM, M (C)",Genoa,Italian Serie A,Italy (Serie A),SUI,184,78,34,Right,M (C),BWM,725000,14750
2190,Vicente Guaita,GK,Crystal Palace,English Premier Division,England (Premier Division),ESP,190,80,32,Right,GK,SK,17000000,60000
2065,Vicente Iborra,"DM, M (C)",Villarreal,Spanish First Division,Spain (First Division),ESP,190,80,31,Right,M (C),CAR,11250000,47500
151,Vieirinha,D/M/AM (RL),PAOK,Greek Super League 1,Greece (Super League),POR,172,72,33,Right,AM (R),W,1000000,40000
4889,Vincent Aboubakar,ST (C),Besiktas,Turkish Super League,Turkey (Super League),CMR,184,83,27,Right,ST (C),DLF,11000000,47500
7724,Wesley,ST (C),Aston Villa,English Premier Division,England (Premier Division),BRA,190,93,22,Right,ST (C),PF,14250000,50000
622,Wilfried Bony,ST (C),Al-Ittihad (KSA),Saudi Professional League,Saudi Arabia (Pro League),CIV,182,86,30,Right,ST (C),DLF,2900000,30000
5700,Yann Karamoh,"AM (RL), ST (C)",Parma,Italian Serie A,Italy (Serie A),FRA,185,77,20,Right,AM (R),W,6250000,30500
45,Yunus Malli,M/AM (LC),Trabzonspor,Turkish Super League,Turkey (Super League),TUR,179,70,27,Right,AM (C),AP,8500000,42000
1506,Yuto Nagatomo,D/WB/M (RL),OM,Ligue 1 Conforama,France (Ligue 1 Conforama),JPN,169,68,32,Either,D (L),FB,2400000,44000
5609,Yves Bissouma,M (C),Brighton,English Premier Division,England (Premier Division),MLI,182,78,22,Right,M (C),MEZ,12000000,27000
6110,Yvon Mvogo,GK,PSV,Eredivisie,Holland (Eredivisie),SUI,190,90,25,Right,GK,SK,2900000,25000
6880,Edouard Mendy,GK,Chelsea,English Premier Division,England (Premier Division),SEN,197,86,27,Right Only,GK,SK,0,115000
2412,Adil Rami,D (C),Sochi,Russian Premier League,Russia (Premier League),FRA,190,90,33,Right,D (C),NCB,775000,10000
6929,Adrian Semper,GK,Chievo,Italian Serie B,Italy (Serie B),CRO,194,89,21,Right,GK,SK,700000,1500
2103,Aleix Vidal,"D/WB (R), M/AM (RL)",Sevilla,Spanish First Division,Spain (First Division),ESP,177,70,29,Right,AM (R),W,13250000,23000
948,Alessandro Diamanti,"M (C), AM (RLC)",Western United,Hyundai A-League,Australia (Hyundai A-League),ITA,180,76,36,Left,AM (C),AM,67000,7750
2031,Alessandro Rossi,ST (C),Juve Stabia,Italian Serie B,Italy (Serie B),ITA,184,77,22,Right,ST (C),PF,625000,9250
7924,Amir Rrahmani,D (RC),Verona,Italian Serie A,Italy (Serie A),KVX,192,87,25,Right,D (C),CD,5000000,7500
9099,Andi Zeqiri,"AM (L), ST (C)",Brighton,English Premier Division,England (Premier Division),SUI,185,80,20,Left,ST (C),AF,5750000,8500
7956,Andrea Cistana,D (C),Brescia,Italian Serie B,Italy (Serie B),ITA,187,78,22,Right,D (C),CD,2500000,3100
1487,Andrea Conti,D/WB/M (R),Milan,Italian Serie A,Italy (Serie A),ITA,184,76,25,Right,D (R),FB,10750000,61000
1493,Andrea Petagna,ST (C),SPAL,Italian Serie B,Italy (Serie B),ITA,190,85,23,Left,ST (C),TM,10000000,37000
1444,Blerim Dzemaili,M/AM (C),Shenzhen,Chinese Super League,China (Super League),SUI,179,73,33,Right,M (C),DLP,4000000,30000
8675,Bruno Fuchs,D (C),Internacional,Brazilian National First Division,Brazil (First Division),BRA,190,82,20,Right,D (C),CD,1500000,2200
6336,Bruno Jordao,"DM, M/AM (C)",Famalicao,Portuguese Premier League,Portugal (Premier League),POR,180,73,20,Right Only,M (C),AP,2100000,15000
1475,Claud Adjapong,D/WB/M (R),Verona,Italian Serie A,Italy (Serie A),ITA,180,74,21,Right,D (R),FB,3200000,10750
1515,Cristian Ansaldi,D/WB/M (RL),Torino,Italian Serie A,Italy (Serie A),ARG,181,76,32,Either,D (L),WB,7000000,43000
1182,Daniele Baselli,M (C),Torino,Italian Serie A,Italy (Serie A),ITA,182,70,27,Right,M (C),AP,11500000,43000
1574,Davide Calabria,"D (RL), WB/M (R)",Milan,Italian Serie A,Italy (Serie A),ITA,177,70,22,Either,D (R),WB,9750000,61000
7940,Denis Vavro,D (C),Huesca,Spanish First Division,Spain (First Division),SVK,190,76,23,Right,D (C),NCB,6750000,25000
5573,Domingos Quina,"M (C), AM (RLC)",Watford,Sky Bet Championship,England (Sky Bet Championship),POR,173,68,19,Right,AM (C),AM,15000000,8000
5723,Emanuel Mammana,D (C),Zenit,Russian Premier League,Russia (Premier League),ARG,183,73,23,Right,D (C),BPD,3300000,41500
1033,Emanuele Giaccherini,"M (C), AM (RLC)",Chievo,Italian Serie B,Italy (Serie B),ITA,167,60,34,Right,AM (C),AM,525000,21500
876,Fabian Delph,"D (L), M (C)",Everton,English Premier Division,England (Premier Division),ENG,174,78,29,Left,M (C),BBM,24000000,100000
7936,Filip Jagiello,"DM, M/AM (C)",Genoa,Italian Serie A,Italy (Serie A),POL,180,70,21,Either,M (C),AP,2700000,7750
1998,Francesco Cassata,"DM, M (LC)",Genoa,Italian Serie A,Italy (Serie A),ITA,183,75,21,Right,M (C),BBM,3500000,9250
1102,Giovanni Simeone,ST (C),Cagliari,Italian Serie A,Italy (Serie A),ARG,180,81,23,Right,ST (C),AF,12000000,46000
6572,Guilherme Arana,D/WB/M (L),Atletico Mineiro,Brazilian National First Division,Brazil (First Division),BRA,176,68,22,Left,D (L),FB,7500000,12500
8171,Hannes Wolf,"M (R), AM (RC)",Borussia M'gladbach,Bundesliga,Germany (Bundesliga),AUT,179,69,20,Left,AM (C),SS,6000000,25000
2030,Henrique,D (C),Al-Ittihad (UAE),UAE Professional League,U.A.E. (Pro League),BRA,186,78,32,Right,D (C),BPD,2600000,20500
3337,Hilton,D (C),Montpellier,Ligue 1 Conforama,France (Ligue 1 Conforama),BRA,180,78,41,Right,D (C),BPD,325000,12000
6027,Jairo Riedewald,"D (LC), DM",Crystal Palace,English Premier Division,England (Premier Division),NED,188,78,22,Left,D (L),FB,10000000,55000
8493,Jake Vokins,D (L),Sunderland,Sky Bet League One,England (Sky Bet League One),ENG,180,70,19,Left,D (L),WB,425000,1000
6143,Jetro Willems,D/WB (L),Eintracht Frankfurt,Bundesliga,Germany (Bundesliga),NED,169,71,25,Left,D (L),CWB,4099999,32500
7857,Jon Moncayola,"DM, M (C)",Osasuna,Spanish First Division,Spain (First Division),ESP,180,73,21,Right,M (C),CAR,750000,2600
2358,Jonathan Viera,"M (L), AM (LC)",Beijing,Chinese Super League,China (Super League),ESP,171,65,29,Right,AM (L),IW,28000000,99000
5238,Jordan Torunarigha,D (LC),Hertha Berlin,Bundesliga,Germany (Bundesliga),GER,189,77,21,Left,D (C),BPD,4400000,13250
8719,Kalvin Phillips,"DM, M (C)",Leeds,English Premier Division,England (Premier Division),ENG,178,72,23,Right,M (C),BBM,24000000,30000
8010,Kevin Agudelo,"M (C), AM (LC)",Fiorentina,Italian Serie A,Italy (Serie A),COL,178,72,20,Left,AM (C),SS,2500000,7750
7090,Krzysztof Piatek,ST (C),Hertha Berlin,Bundesliga,Germany (Bundesliga),POL,183,77,23,Right,ST (C),P,24000000,83000
1447,Ladislav Krejci,M/AM (C),Sparta Prague,Italian Serie A,Italy (Serie A),CZE,187,81,20,Left,M (C),BWM,425000,550
289,Marc Stendera,M/AM (C),Hannover 96,Bundesliga 2,Germany (Bundesliga 2),GER,171,64,23,Right,M (C),AP,1900000,8250
1183,Marco Benassi,M (C),Fiorentina,Italian Serie A,Italy (Serie A),ITA,184,80,24,Right,M (C),BBM,9500000,33500
1134,Mario Pasalic,M/AM (C),Atalanta,Italian Serie A,Italy (Serie A),CRO,188,82,24,Either,M (C),MEZ,15000000,60000
1577,Marko Pjaca,"M (L), AM (RLC)",Anderlecht,Belgian Pro League A,Belgium (Pro League A),CRO,186,81,24,Right,AM (L),IW,8000000,61000
1390,Marko Rog,M/AM (C),Cagliari,Italian Serie A,Italy (Serie A),CRO,180,73,23,Right,M (C),MEZ,10750000,46000
1710,Marten de Roon,"DM, M (C)",Atalanta,Italian Serie A,Italy (Serie A),NED,185,76,28,Right,M (C),BBM,18750000,26000
7963,Massimiliano Mangraviti,D (C),Brescia,Italian Serie B,Italy (Serie B),ITA,186,75,21,Left,D (C),BPD,1400000,1200
7013,Matteo Pessina,"DM, M/AM (C)",Verona,Italian Serie A,Italy (Serie A),ITA,183,70,22,Left,M (C),DLP,4099999,4900
6974,Mattias Svanberg,M/AM (C),Bologna,Italian Serie A,Italy (Serie A),SWE,185,77,20,Right,M (C),MEZ,3500000,15250
8310,Mitchel Bakker,"D (LC), WB (L)",Paris SG,French Reserves Group 3,France (Reserves Group 3),NED,185,80,19,Left,D (L),WB,300000,1200
3696,Morgan Sanson,M/AM (C),Aston Villa,English Premier Division,England (Premier Division),FRA,180,73,24,Right,M (C),DLP,20000000,58000
5989,Moussa Niakhate,D (LC),Mainz 05,Bundesliga,Germany (Bundesliga),FRA,190,80,23,Left,D (C),BPD,5500000,13250
6512,Musa Barrow,ST (C),Bologna,Italian Serie A,Italy (Serie A),GAM,183,74,20,Right,ST (C),AF,4600000,7750
6382,Pedro Neto,"AM (RLC), ST (C)",Wolves,English Premier Division,England (Premier Division),POR,172,63,19,Left,AM (R),IW,6500000,25000
1841,Pierluigi Gollini,GK,Atalanta,Italian Serie A,Italy (Serie A),ITA,188,80,24,Right Only,GK,SK,11000000,15250
5299,Riechedly Bazoer,"DM, M (C)",Vitesse,Eredivisie,Holland (Eredivisie),NED,184,74,22,Right,M (C),DLP,6250000,2500
8791,Ritsu Doan,"M (R), AM (RLC)",Arminia Bielefeld,Bundesliga,Germany (Bundesliga),JPN,172,70,21,Either,AM (R),IW,5750000,8500
2734,Roman Pavlyuchenko,ST (C),Znamya Noginsk,Russian Third Division - Moskovskaya oblast,Russia (Third Division - MskObl),RUS,188,84,37,Right,ST (C),P,0,0
2810,Salvatore Bocchetti,D (C),Verona,Italian Serie A,Italy (Serie A),ITA,186,86,32,Left,D (C),CD,1500000,12500
2303,Samu Castillejo,"M (RL), AM (RLC)",Milan,Italian Serie A,Italy (Serie A),ESP,179,67,24,Left,AM (L),W,13250000,46000
2037,Simone Palombi,ST (C),Cremonese,Italian Serie B,Italy (Serie B),ITA,182,75,23,Right,ST (C),P,1400000,6000
4942,Sofian Kiyine,"WB (L), M/AM (LC)",Salernitana,Italian Serie B,Italy (Serie B),MAR,182,72,21,Right,M (C),AP,3200000,3100
7927,Sofyan Amrabat,"DM, M (C)",Verona,Italian Serie A,Italy (Serie A),MAR,182,72,22,Right,DM,DLP,7000000,7500
1542,Stefan Radu,D (LC),Lazio,Italian Serie A,Italy (Serie A),ROU,183,79,32,Left,D (C),BPD,8500000,43000
6157,Timothy Castagne,D/WB/M (RL),Leicester,English Premier Division,England (Premier Division),BEL,184,74,23,Right,D (R),WB,32500000,83000
7351,Victor Mollejo,"AM (RL), ST (C)",Deportivo,Spanish Second Division,Spain (Second Division),ESP,176,70,18,Left,AM (L),W,700000,6000
7448,Wilmar Barrios,"DM, M (C)",Zenit,Russian Premier League,Russia (Premier League),COL,178,74,25,Right,DM,BWM,9250000,36000
8700,Xavi Simons,"DM, M (C)",Paris SG,Ligue 1 Conforama,France (Ligue 1 Conforama),NED,166,57,16,Right,M (C),DLP,325000,1200
1178,Davide Zappacosta,D/WB/M (R),Genoa,Italian Serie A,Italy (Serie A),ITA,182,72,27,Right,D (R),WB,0,63000
946,Marco van Ginkel,M/AM (C),PSV,Eredivisie,Holland (Eredivisie),NED,186,82,26,Right,M (C),DLP,0,28000
3237,Aissa Mandi,D (RLC),Real Betis,Spanish First Division,Spain (First Division),ALG,184,78,27,Right,D (R),WB,12750000,20000
5603,Aaron Ramsdale,GK,Sheff Utd,English Premier Division,England (Premier Division),ENG,191,65,21,Right,GK,G,15000000,51000
2125,Ander Capa,D/WB/M/AM (R),A. Bilbao,Spanish First Division,Spain (First Division),ESP,175,75,27,Right,D (R),FB,12750000,23500
8132,Andrea Adorante,"AM (C), ST (C)",Parma,Italian Serie A,Italy (Serie A),ITA,184,78,19,Right,ST (C),P,300000,2500
1040,Angelino,D/WB/M (L),RB Leipzig,Bundesliga,Germany (Bundesliga),ESP,175,69,22,Left Only,D (L),FB,21000000,60000
137,Anthony Modeste,ST (C),AS Saint-Etienne,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,187,84,31,Right,ST (C),P,2800000,58000
7298,Ben White,D (C),Brighton,English Premier Division,England (Premier Division),ENG,185,81,21,Right,D (C),BPD,14500000,3000
7075,Borna Sosa,D/WB (L),VfB Stuttgart,Bundesliga,Germany (Bundesliga),CRO,186,77,21,Left,D (L),FB,2500000,11500
7335,Callum Slattery,M/AM (C),Gillingham,Sky Bet League One,England (Sky Bet League One),ENG,190,70,20,Right,AM (C),AM,950000,3000
7899,Daley Sinkgraven,"D/WB (L), M (C)",Bayer 04,Bundesliga,Germany (Bundesliga),NED,179,66,23,Left,M (C),DLP,3500000,25000
2912,Diego Carlos,D (C),Sevilla,Spanish First Division,Spain (First Division),BRA,185,79,26,Right,D (C),CD,20000000,38000
5825,Elio Capradossi,D (C),Spezia,Italian Serie A,Italy (Serie A),ITA,181,78,23,Right,D (C),CD,2300000,8500
572,Etienne Capoue,"DM, M (C)",Villarreal,Spanish First Division,Spain (First Division),FRA,189,80,30,Right,DM,DLP,10250000,45000
9324,Facundo Pellistri,"AM (R), ST (C)",Alaves,Spanish First Division,Spain (First Division),URU,174,65,17,Right,AM (R),W,9500000,5250
116,Florian Grillitsch,"DM, M/AM (C)",TSG Hoffenheim,Bundesliga,Germany (Bundesliga),AUT,187,77,23,Right,M (C),AP,8750000,33000
2330,Guillermo Ochoa,GK,America,Mexican First Division,Mexico (First Division),MEX,185,78,33,Right,GK,SK,3600000,65000
7771,Guus Til,M/AM (C),SC Freiburg,Bundesliga,Germany (Bundesliga),NED,183,72,21,Right,AM (C),SS,2000000,22000
6783,Idrissa Doumbia,"DM, M (C)",Huesca,Spanish First Division,Spain (First Division),CIV,185,75,21,Right,DM,BWM,4800000,14500
766,Jamaal Lascelles,D (C),Newcastle,English Premier Division,England (Premier Division),ENG,191,84,25,Right,D (C),CD,15250000,50000
5735,Jean-Philippe Mateta,ST (C),Crystal Palace,English Premier Division,England (Premier Division),FRA,192,84,21,Right,ST (C),P,7250000,30000
3477,Jimmy Briand,"AM (R), ST (C)",Bordeaux,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,181,84,33,Right,ST (C),PF,1200000,18750
131,Jonas Hector,"D/WB (L), DM, M (C)",1. FC Koln,Bundesliga,Germany (Bundesliga),GER,185,75,29,Left,D (L),FB,12000000,49500
2307,Jonathan dos Santos,"DM, M (RC)",LA Galaxy,Major League Soccer,U.S.A. (MLS),MEX,172,74,29,Right,M (C),DLP,4800000,30000
7247,Jonathan Panzo,D (LC),Dijon FCO,Ligue 1 Conforama,France (Ligue 1 Conforama),ENG,185,72,18,Left,D (L),WB,400000,4300
3694,Joris Gnagnon,"D (C), DM",Sevilla,Spanish First Division,Spain (First Division),FRA,182,89,22,Right,D (C),CD,9500000,27500
897,Juanmi,"AM (L), ST (C)",Real Betis,Spanish First Division,Spain (First Division),ESP,170,63,26,Right,AM (L),IW,15000000,21000
3632,Kevin Malcuit,D/WB/M/AM (R),Napoli,Italian Serie A,Italy (Serie A),FRA,181,73,27,Right,D (R),FB,11250000,24500
3286,Kevin Trapp,GK,Eintracht Frankfurt,Bundesliga,Germany (Bundesliga),GER,189,88,28,Right,GK,SK,13500000,49500
83,Kevin Volland,"M/AM (R), ST (C)",AS Monaco,Ligue 1 Conforama,France (Ligue 1 Conforama),GER,179,81,26,Left,ST (C),PF,34000000,85000
545,Kieran Gibbs,D/WB (L),West Brom,English Premier Division,England (Premier Division),ENG,178,66,29,Left,D (L),FB,9250000,30000
652,Kieran Trippier,D/WB (R),A. Madrid,Spanish First Division,Spain (First Division),ENG,178,72,28,Right,D (R),FB,15250000,78000
6722,Konstantinos Mavropanos,D (C),VfB Stuttgart,Bundesliga,Germany (Bundesliga),GRE,192,87,21,Right,D (C),CD,10000000,7000
5713,Lucas Lima,M/AM (C),Palmeiras,Brazilian National First Division,Brazil (First Division),BRA,175,69,28,Left,AM (C),AP,7250000,30000
1383,Manolo Gabbiadini,"AM (RC), ST (C)",Sampdoria,Italian Serie A,Italy (Serie A),ITA,186,81,27,Left,AM (R),IF,8750000,33500
860,Marc Muniesa,"D (LC), WB (L)",Al-Arabi (QAT),Qatari Stars League,Qatar (Stars League),ESP,179,72,27,Left Only,D (C),BPD,6000000,32500
7153,Matheus Pereira,M/AM (RL),West Brom,English Premier Division,England (Premier Division),BRA,175,69,23,Left,M (R),IW,16000000,30500
1580,Mattia Destro,ST (C),Genoa,Italian Serie A,Italy (Serie A),ITA,182,80,28,Right,ST (C),AF,4900000,61000
3274,Maxime Gonalons,"DM, M (C)",Granada,Spanish First Division,Spain (First Division),FRA,187,76,30,Right,DM,HB,12750000,48000
125,Maximilian Eggestein,"DM, M/AM (C)",SV Werder,Bundesliga,Germany (Bundesliga),GER,181,75,22,Right,M (C),BBM,11750000,49500
3191,Mbark Boussoufa,"M (C), AM (RLC)",Al-Sailiya,Qatari Stars League,Qatar (Stars League),MAR,167,61,34,Left,AM (C),AM,700000,30500
6504,Michael Obafemi,"AM (R), ST (C)",Southampton,English Premier Division,England (Premier Division),IRL,171,70,18,Right,ST (C),PF,4000000,16000
531,Michail Antonio,M/AM (R),West Ham,English Premier Division,England (Premier Division),ENG,180,82,29,Right,AM (R),W,19000000,65000
495,Nacho Monreal,"D (LC), WB (L)",Real Sociedad,Spanish First Division,Spain (First Division),ESP,178,72,33,Left,D (L),FB,7000000,43000
9211,Nico Williams,"D (C), M/AM (RL)",A. Bilbao,Spanish First Division,Spain (First Division),ESP,180,67,16,Right,AM (R),IF,650000,4900
2642,Nuri Sahin,"DM, M (C)",Antalyaspor,Turkish Super League,Turkey (Super League),TUR,180,73,30,Left,DM,DLP,2400000,26500
7067,Paulinho,M/AM (RL),Bayer 04,Portuguese Premier League,Portugal (Premier League),BRA,175,75,18,Right,M (L),IW,3700000,25000
8110,Pedro,ST (C),Flamengo,Brazilian National First Division,Brazil (First Division),BRA,185,78,22,Right,ST (C),AF,4900000,24500
2258,Pepe,M/AM (RL),Gremio,Brazilian National First Division,Brazil (First Division),BRA,175,66,22,Right,AM (L),IW,4400000,7750
951,Phil Jones,D (C),Man Utd,English Premier Division,England (Premier Division),ENG,185,72,27,Right,D (C),CD,18000000,110000
6034,Philip Billing,"DM, M (C)",Bournemouth,Sky Bet Championship,England (Sky Bet Championship),DEN,196,88,23,Left,DM,VOL,16250000,40000
210,Raffael,"AM (C), ST (C)",Borussia M'gladbach,Bundesliga,Germany (Bundesliga),BRA,174,69,34,Either,ST (C),DLF,450000,41500
8856,Razvan Marin,"DM, M (C), AM (RC)",Ajax,Eredivisie,Holland (Eredivisie),ROU,177,70,23,Right,M (C),DLP,7250000,21500
2338,Ricardo Horta,"M (L), AM (RL)",Braga,Portuguese Premier League,Portugal (Premier League),POR,173,61,24,Right,AM (L),IW,10750000,6000
6155,Robin Gosens,D/WB/M (L),Atalanta,Italian Serie A,Italy (Serie A),GER,184,76,24,Left,D (L),FB,16250000,21500
2496,Rodri,D (C),Leonesa B,Spanish Third Division Group 10,Spain (Third Division Group 10),ESP,185,69,15,Right Only,D (C),CD,125000,25
2884,Roman Eremenko,M/AM (C),Rostov,Russian Premier League,Russia (Premier League),FIN,185,80,32,Either,M (C),DLP,1900000,28000
4433,Ron Vlaar,D (C),AZ,Eredivisie,Holland (Eredivisie),NED,189,85,34,Right,D (C),CD,525000,4300
1013,Sam Field,"DM, M (C)",QPR,Sky Bet Championship,England (Sky Bet Championship),ENG,184,73,21,Left,DM,DLP,4400000,8000
8158,Scott Carson,GK,Man City,English Premier Division,England (Premier Division),ENG,190,86,33,Right,GK,G,2100000,20000
5560,Scott McTominay,M (C),Port Vale,Sky Bet League Two,England (Sky Bet League Two),SCO,191,85,22,Right,M (C),BWM,13000000,3900
90,Sebastian Rudy,"D (R), DM, M (C)",TSG Hoffenheim,Bundesliga,Germany (Bundesliga),GER,180,74,29,Right,DM,DLP,17250000,83000
1639,Sebastiano Luperto,D (LC),Napoli,Italian Serie A,Italy (Serie A),ITA,191,75,22,Left,D (C),CD,5500000,12250
9395,Sidnei Tavares,M (C),Leicester,English Premier Division,England (Premier Division),POR,183,74,17,Right,M (C),MEZ,95000,750
1296,Stefano Sturaro,"DM, M (C)",Genoa,Italian Serie A,Italy (Serie A),ITA,181,80,26,Right,M (C),BWM,7750000,37000
744,Steven Berghuis,"M/AM (RL), ST (C)",Feyenoord,Eredivisie,Holland (Eredivisie),NED,182,70,27,Left,AM (R),IW,18000000,15000
1885,Tino Costa,"DM, M (C)",Atletico Nacional,Colombian First Division,Colombia (First Division),ARG,176,75,34,Left,M (C),AP,97000,7000
1844,Urby Emanuelson,"D/WB (L), M (LC)",FC Utrecht,Eredivisie,Holland (Eredivisie),NED,176,68,33,Left,M (L),W,1000000,2600
9337,Valentin Antov,"D (C), DM",CSKA-Sofia,Bulgarian First League,Bulgaria (First League),BUL,188,75,18,Right,DM,BWM,325000,325
7350,Yangel Herrera,"DM, M (C)",Granada,Spanish First Division,Spain (First Division),VEN,183,78,21,Right,M (C),BWM,14250000,20000
4895,Andrea Pinamonti,ST (C),Genoa,Italian Serie A,Italy (Serie A),ITA,185,75,20,Right,ST (C),AF,4900000,37000
9524,Anthony Elanga,AM (RL),Man Utd,English Premier Division,England (Premier Division),SWE,178,68,17,Right,AM (L),W,180000,120
6075,Antonio Sivera,GK,Alaves,Spanish First Division,Spain (First Division),ESP,185,75,22,Right,GK,SK,625000,5000
7475,Ayrton Lucas,D/WB (L),Spartak Moscow,Russian Premier League,Russia (Premier League),BRA,180,72,21,Left,D (L),WB,4099999,31500
2252,Borja Mayoral,ST (C),Roma,Italian Serie A,Italy (Serie A),ESP,182,74,22,Right,ST (C),AF,11500000,16500
4930,Bruno Petkovic,ST (C),Dinamo,Croatian First League,Croatia (First League),CRO,193,88,24,Right,ST (C),DLF,7000000,9000
5177,Caio Henrique,"D/WB (L), DM, M (LC)",AS Monaco,Ligue 1 Conforama,France (Ligue 1 Conforama),BRA,178,68,21,Left,WB (L),CWB,8500000,51000
764,Daryl Janmaat,D/WB (R),Watford,Sky Bet Championship,England (Sky Bet Championship),NED,185,80,29,Right,WB (R),WB,11250000,45000
1509,Davide Santon,D/WB (RL),Roma,Italian Serie A,Italy (Serie A),ITA,186,83,28,Right,D (R),WB,7500000,46000
3261,Diego Rolan,"AM (RL), ST (C)",FC Juarez,Mexican First Division,Mexico (First Division),URU,177,69,26,Right,AM (R),W,7000000,20000
6277,Fabrizio Caligara,"DM, M (C)",Venezia,Italian Serie B,Italy (Serie B),ITA,180,73,19,Left,M (C),AP,450000,3300
5051,Gabriel Mercado,D (RC),Al-Rayyan,Qatari Stars League,Qatar (Stars League),ARG,180,83,32,Right,D (R),FB,4300000,67000
8230,German Valera,"M/AM (L), ST (C)",A. Madrid,Spanish First Division,Spain (First Division),ESP,182,72,17,Left,AM (L),W,56000,425
6253,Gianluca Scamacca,ST (C),Ascoli,Italian Serie B,Italy (Serie B),ITA,196,85,20,Right,ST (C),TM,1500000,6500
2703,Guilherme,"AM (R), ST (C)",Atletico Mineiro,Unknown,Brazil,BRA,186,76,18,Left,AM (R),IW,19250,375
1724,Isaac Success,"M/AM (L), ST (C)",Watford,Sky Bet Championship,England (Sky Bet Championship),NGA,182,90,23,Right,AM (L),IW,11000000,30000
336,Johannes Geis,"DM, M (C)",1. FC Nurnberg,Bundesliga 2,Germany (Bundesliga 2),GER,181,81,25,Either,DM,DLP,3500000,11500
22,John Brooks,D (C),VfL Wolfsburg,Bundesliga,Germany (Bundesliga),USA,193,78,26,Left,D (C),BPD,6000000,66000
6306,Juan Foyth,D (RC),Villarreal,Spanish First Division,Spain (First Division),ARG,187,69,21,Right,D (C),BPD,15250000,21500
1226,Karol Linetty,"DM, M (C)",Sampdoria,Italian Serie A,Italy (Serie A),POL,176,73,24,Right,M (C),BBM,10750000,15250
8351,Ki-Jana Hoever,"D (RC), WB (R)",Wolves,English Premier Division,England (Premier Division),NED,180,65,17,Right,WB (R),WB,500000,9000
6585,Kristijan Bistrovic,"DM, M (C)",Kasimpasa,Turkish Super League,Turkey (Super League),CRO,183,75,21,Right,DM,DM,1200000,17250
7698,Leandro Trossard,"AM (RLC), ST (C)",Brighton,English Premier Division,England (Premier Division),BEL,172,67,24,Right,AM (L),IW,20000000,40000
8182,Lucas Da Cunha,AM (RL),Rennes,French Reserves Group 2,France (Reserves Group 2),FRA,174,66,18,Left,AM (L),W,500000,1600
1127,Luiz Adriano,"AM (L), ST (C)",Palmeiras,Brazilian National First Division,Brazil (First Division),BRA,184,78,32,Right,ST (C),AF,5250000,19250
2603,Marco Andreolli,D (C),Unknown,Unknown,Italy,ITA,187,80,33,Right,D (C),CD,0,0
8303,Marin Pongracic,D (C),VfL Wolfsburg,Bundesliga,Germany (Bundesliga),CRO,190,85,21,Right,D (C),BPD,3700000,41500
1299,Mario Lemina,"DM, M (C)",Fulham,English Premier Division,England (Premier Division),GAB,184,85,25,Right,M (C),BBM,24000000,65000
3601,Marvin Martin,M/AM (C),FC Chambly,Domino's Ligue 2,France (Domino's Ligue 2),FRA,171,68,31,Right,AM (C),AP,625000,5000
8419,Matheus Fernandes,"DM, M (C)",Barcelona,Spanish First Division,Spain (First Division),BRA,183,67,20,Right,M (C),BBM,4200000,10500
1120,Mattia De Sciglio,D/WB (RL),OL,Ligue 1 Conforama,France (Ligue 1 Conforama),ITA,182,78,26,Right,D (R),WB,13500000,92000
171,Michael Gregoritsch,"M (R), AM (RC), ST (C)",Schalke 04,Bundesliga,Germany (Bundesliga),AUT,193,87,25,Left,ST (C),AF,7250000,16500
8859,Mikkel Damsgaard,"M (C), AM (LC)",FC Nordsjaelland,3F Superliga,Denmark (3F Superliga),DEN,176,57,18,Right,AM (C),AP,375000,1200
8204,Neco Williams,D/WB/M/AM (R),Liverpool,English Premier Division,England (Premier Division),WAL,188,77,18,Right Only,WB (R),WB,475000,775
433,Nico Schulz,D/WB/M/AM (L),Borussia Dortmund,Bundesliga,Germany (Bundesliga),GER,180,78,26,Left Only,D (L),FB,15500000,99000
3251,Paul Bernardoni,GK,Angers SCO,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,190,78,22,Left Only,GK,G,4400000,29500
1484,Rafael Toloi,D (C),Atalanta,Italian Serie A,Italy (Serie A),BRA,185,75,28,Right,D (C),BPD,15500000,24500
213,Thorgan Hazard,"M (RL), AM (RLC), ST (C)",Borussia Dortmund,Bundesliga,Germany (Bundesliga),BEL,174,69,26,Right,M (L),IW,35500000,83000
7648,Tonny Vilhena,M/AM (C),Krasnodar,Russian Premier League,Russia (Premier League),NED,175,75,24,Left,M (C),MEZ,6250000,33500
1395,Vlad Chiriches,D (C),Sassuolo,Italian Serie A,Italy (Serie A),ROU,184,75,29,Right,D (C),BPD,6000000,52000
6850,Willy Boly,D (C),Wolves,English Premier Division,England (Premier Division),FRA,195,97,28,Right,D (C),BPD,25500000,50000
529,Winston Reid,D (C),Brentford,Sky Bet Championship,England (Sky Bet Championship),NZL,191,84,30,Right Only,D (C),NCB,12500000,65000
199,Yann Sommer,GK,Borussia M'gladbach,Bundesliga,Germany (Bundesliga),SUI,183,79,30,Either,GK,SK,13500000,41500
